Код	Наименование	ინდენტიფიკატორი ИТС დისკზე
A80.9     	მწვავე პოლიომიელიტი, დაუზუსტებელი (A80.9)	0
A81.0     	კრეიტცფელდ-იაკობის ავადმყოფობა (A81.0)	0
A81.1     	ქვემწვავე მასკლეროზირებელი პანენცეფალიტი (A81.1)	0
A81.2     	პროგრესული მრავალკეროვანი ლეიკოენცეფალოპათია (A81.2)	0
A81.8     	ცენტრალური ნერვული სისტემის სხვა ატიპიური ვირუსული ინფექციები (A81.8)	0
A81.9     	ცენტრალური ნერვული სისტემის ატიპიური ვირუსული ინფექცია დაუზუსტებელი (A81.9)	0
A82.0     	ტყის ცოფი (A82.0)	0
A82.1     	ქუჩის ცოფი (A82.1)	0
A82.9     	ცოფი, დაუზუსტებელი (A82.9)	0
A83.0     	იაპონური ენცეფალიტი (A83.0)	0
A83.1     	დასავლური ცხენის ენცეფალიტი (A83.1)	0
A83.2     	აღმოსავლური ცხენის ენცეფალიტი (A83.2)	0
A83.3     	სენტ-ლუისის ენცეფალიტი (A83.3)	0
A83.4     	ავსტრალიური ენცეფალიტი (A83.4)	0
A83.5     	კალიფორნიული ენცეფალიტი (A83.5)	0
A83.6     	როციოს - ვირუსით გამოწვეული ავადმყოფობა (A83.6)	0
A83.8     	სხვა კოღოსმიერი ვირუსული ენცეფალიტები (A83.8)	0
A83.9     	კოღოსმიერი ვირუსული ენცეფალიტი, დაუზუსტებელი (A83.9)	0
A84.0     	შორეულ-აღმოსავლური ტკიპისმიერი ენცეფალიტი [რუსული გაზაფხულ-ზაფხულის ენცეფალიტი] (A84.0)	0
A84.1     	ცენტრალურევროპული ტკიპისმიერი ენცეფალიტი (A84.1)	0
A84.8     	სხვა ტკიპისმიერი ვირუსული ენცეფალიტები (A84.8)	0
A84.9     	ტკიპისმიერი ვირუსული ენცეფალიტი,  დაუზუსტებელი (A84.9)	0
A85.0     	†       ენტეროვირუსული ენცეფალიტი (G05.1*) (A85.0)	0
A85.1     	†       ადენოვირუსული ენცეფალიტი (G05.1*) (A85.1)	0
A85.2     	ფეხსახსრიანთამიერი ვირუსული ენცეფალიტი, დაუზუსტებელი (A85.2)	0
A85.8     	სხვა დაზუსტებული ვირუსული ენცეფალიტები (A85.8)	0
A86       	ვირუსული ენცეფალიტი, დაუზუსტებელი (A86)	0
A87.0     	†       ენტეროვირუსული მენინგიტი (G 02.0*) (A87.0)	0
A87.1     	†       ადენოვირუსული მენინგიტი (G 02.0*) (A87.1)	0
A87.2     	ლიმფოციტური ქორიომენინგიტი (A87.2)	0
A87.8     	სხვა ვირუსული მენინგიტები (A87.8)	0
A87.9     	ვირუსული მენინგიტი, დაუზუსტებელი (A87.9)	0
A88.0     	ენტეროვირუსული ეგზანთემური ცხელება [ბოსტონის ეგზანთემა] (A88.0)	0
A88.1     	ეპიდემიური თავბრუ (A88.1)	0
